Record Id,Universities Owner.id,Universities Name,Universities Code,Vendor Name.id,Universities Active,Manufacturer,Universities Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created By.id,Modified By.id,Created Time,Modified Time,Unit Price,Commission Rate,Tax,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Quantity in Demand,Description,Taxable,Currency,Exchange Rate,Layout.id,Tag,Universities Image,Do they see financial docs before visa letter,Do they wish to see financial docs before offer,Do they ask for deposit before visa letter,Do they ask for deposit of conditional offer,City,Address,Country,State,Switchboard No,Post Code,AEC's Account Manager,Application Process Type,AEC's Account Manager Mobile,AEC's Account Manager Email,International Manager Phone,Contract valid till,International Manager Name,Accounts Executive Name (to claim commission),International Manager Email,Do they need SOP for applications,Accounts Executive Phone,Accounts Executive Email,Do they take an interview before releasing offer,Do they need LOR for every application,Any other useful contact,University Website,University Turnaround Time for decisions (in days),Do they take an interview before visa letter,Do they accept appointment of agent,Do they accept Change of Agent,Processed Through,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,THE World Ranking (Latest),QS World Ranking (Latest),National Ranking,Established In,Total International Students,Total number of students,Type of University,Application Fee,Do they issue Conditional Offers,Is Lateral Entry Allowed,Total Staff,On Campus Accommodation available,Latitude Longitude,Address 2,Please enter the details of scholarships available,Notable Alumni (just names and designation / role),Affiliations,Rankings - Miscellaneous,Number of Campus,Campus Size (in Acres),Location of Campus,Which Tier,Record Status,Locked
zcrm_3554776000000634341,zcrm_3554776000000601104,Edinburgh International College (Navitas),,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000076522006,2018-11-20 14:56:32,2022-04-06 17:14:10,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,,,www.eic.navitas.com,,,,,,2022-04-06 17:14:10,,,,,,,,,,,,,,,,"55.92030425866931, -3.23995625491285",,,,,,,,,,Available,false
zcrm_3554776000000634342,zcrm_3554776000000601104,Fraser International College - Navitas,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2021-12-06 18:06:02,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,hr9tt7a6c44f8427940668c287525ed90bf58.png,,,,,,,Canada,,,,,,,,,,,,,,,,,,,www.fraseric.ca,,,,,,2021-12-06 18:06:02,2024-02-05 16:02:07,2021-12-17 12:47:00,,,,,2006,,,,,,,,,"49.27382617893096, -122.91213525965495",,,,,,,,,,Available,false
zcrm_3554776000000634343,zcrm_3554776000000601104,1The University of Auckland - Study Group,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2022-02-24 14:38:25,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,pjxkl3d48f4b766f545f38e6d2e10d04d2016.png,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,http://corporate.studygroup.com/higher-education/new-zealand/the-university-of-auckland,,,,,,2022-02-24 14:38:25,,2021-12-17 15:24:45,,137,85,1,1883,,33050,,,,,,,"-36.85217466397772, 174.76910729790046",,,,,,,,,,Available,false
zcrm_3554776000000634344,zcrm_3554776000000601104,Cambridge Ruskin International College (Navitas),,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2021-12-03 16:52:39,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,mep7x68c08a5bf08c4004a61aa611ae190c67.png,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,,,www.cric.navitas.com,,,,,,2021-12-03 16:52:39,,2021-12-17 15:47:30,,301,,97,1992,,26715,,,,,,,"52.204201483102906, 0.13324689756724256",,,,,,,,,,Available,false
zcrm_3554776000000634345,zcrm_3554776000000601104,UNIVERSITY OF SYDNEY FOUNDATION PROGRAM (USFP) - Study Group,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000076522006,2018-11-20 14:56:32,2021-12-07 16:05:02,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,ai8md26e2a5a48840431bbd938a161f55b549.png,,,,,,,Australia,,,,,,,,,,,,,,,,,,,http://corporate.studygroup.com/higher-education/australia/university-of-sydney,,,,,,2021-12-07 16:05:02,,2021-12-17 14:36:27,,58,38,4,1850,,60968,,,,,,,"-33.88871728066537, 151.18734939781197",,,,,,,,,,Available,false
zcrm_3554776000000634346,zcrm_3554776000000601104,TRU - Thompson Rivers University,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2021-12-07 12:03:12,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,ai8md935173183c504566917daf27491328a9.png,,,,,,,Canada,,,,,,,,,,,,,,,,,,,http://www.tru.ca/,,,,,,2021-12-07 12:03:12,2024-06-29 13:48:23,2021-12-17 14:43:15,,,,48,1970,,26914,,,,,,,"50.67089546869542, -120.36598872688091",,,,,,,,,,Available,false
zcrm_3554776000000634347,zcrm_3554776000000601104,Birmingham City University International College (Navitas),,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000076522006,2018-11-20 14:56:32,2022-04-06 17:14:10,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,,,www.bcuic.navitas.com,,,,,,2022-04-06 17:14:10,2024-05-27 17:54:20,,,,,,,,,,,,,,,"52.482443861778144, -1.8882192870806784",,,,,,,,,,Available,false
zcrm_3554776000000634349,zcrm_3554776000000601104,University of Massachusetts Boston,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2021-12-06 17:01:51,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,pjxkld194b7bacda940f9b09b1a9c5ae83861.png,,,,,,,United States,,,,,,,,,,,,,,,,,,,https://www.umb.edu/,,,,,,2021-12-06 17:01:51,,2021-12-17 16:40:18,,,657,166,1964,,16259,,,,,,,"42.314048807196215, -71.03648778685596",,,,,,,,,,Available,false
zcrm_3554776000000634350,zcrm_3554776000000601104,University of Massachusetts Dartmouth,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2021-12-06 17:02:27,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,pjxklb4a86c1bd30f4dcc89e8096fe14593b6.png,,,,,,,United States,,,,,,,,,,,,,,,,,,,http://www.umassd.edu/,,,,,,2021-12-06 17:02:27,,2021-12-17 16:40:33,,,,72,1895,,8513,,,,,,,"41.627967510933544, -71.004629202218",,,,,,,,,,Available,false
zcrm_3554776000000634351,zcrm_3554776000000601104,University of Massachusetts Lowell,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2021-12-06 17:02:53,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,pjxkl86bc3e07bbc047a3b4f318a665b962e2.png,,,,,,,United States,,,,,,,,,,,,,,,,,,,http://www.uml.edu/,,,,,,2021-12-06 17:02:53,,2021-12-17 16:40:48,,,,190,1894,,18369,,,,,,,"42.65566811106127, -71.32460447694025",,,,,,,,,,Available,false
zcrm_3554776000000634352,zcrm_3554776000000601104,University of New Hampshire,,,true,,false,,,,,zcrm_3554776000000601104,zcrm_3554776000032513001,2018-11-20 14:56:32,2021-12-06 17:05:52,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,pjxkl7712c4402ec1467b98c19f1f21e1add4.png,,,,,,,United States,,,,,,,,,,,,,,,,,,,www.unh.navitas.com/,,,,,,2021-12-06 17:05:52,,2021-12-17 16:42:43,,,826,119,1866,,14784,,,,,,,"43.13885403339955, -70.93711103285956",,,,,,,,,,Available,false
zcrm_3554776000000634353,zcrm_3554776000000601104,University College Dublin - Study Group,,,true,,Direct,,,,,zcrm_3554776000000601104,zcrm_3554776000076522006,2018-11-20 14:56:32,2021-12-06 16:11:18,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,pjxkl948a2a9354044020b086bc856c2b31fa.png,,,,,,,Ireland,,,,,,,,,,,,,,,,,,,http://corporate.studygroup.com/higher-education/ireland/university-college-dublin,,,,,,2021-12-06 16:11:18,2019-09-09 05:51:04,2021-12-17 15:13:03,,201,173,2,1854,,33321,,,,,,,"53.306387249685095, -6.225402071161419",,,,,,,,,,Available,false
